"parentCustomerID","child_id","ChildCustomerId"
1,2,C. Traveller
2,5,C. Traveller
1,8,S. IND
9,10,C. Traveller
2,11,C. Traveller
15,29,S. F&B
15,29,C. Traveller
31,29,S. F&B
31,29,C. Traveller
174,29,S. F&B
174,29,C. Traveller
31,30,S. F&B
31,30,C. Traveller
175,30,S. F&B
175,30,C. Traveller
176,30,S. F&B
176,30,C. Traveller
177,30,S. F&B
177,30,C. Traveller
31,33,C. Traveller
31,34,"3. Factuuradres"
63,62,"3. Factuuradres"
63,62,"1. Parent company"
64,62,"3. Factuuradres"
64,62,"1. Parent company"
71,62,"3. Factuuradres"
71,62,"1. Parent company"
63,64,"3. Factuuradres"
70,64,"3. Factuuradres"
276,64,"3. Factuuradres"
63,65,"3. Factuuradres"
63,65,"1. Parent company"
63,66,"3. Factuuradres"
63,66,"1. Parent company"
1103,68,"3. Factuuradres"
1103,68,"1. Parent company"
68,69,"3. Factuuradres"
68,69,"1. Parent company"
240,73,"3. Factuuradres"
240,73,"1. Parent company"
241,73,"3. Factuuradres"
241,73,"1. Parent company"
1564,73,"3. Factuuradres"
1564,73,"1. Parent company"
242,74,"3. Factuuradres"
242,74,"1. Parent company"
243,74,"3. Factuuradres"
243,74,"1. Parent company"
2724,74,"3. Factuuradres"
2724,74,"1. Parent company"
77,76,"3. Factuuradres"
77,76,"1. Parent company"
247,76,"3. Factuuradres"
247,76,"1. Parent company"
248,76,"3. Factuuradres"
248,76,"1. Parent company"
249,76,"3. Factuuradres"
249,76,"1. Parent company"
250,76,"3. Factuuradres"
250,76,"1. Parent company"
251,76,"3. Factuuradres"
251,76,"1. Parent company"
787,76,"3. Factuuradres"
787,76,"1. Parent company"
810,76,"3. Factuuradres"
810,76,"1. Parent company"
1049,76,"3. Factuuradres"
1049,76,"1. Parent company"
1165,76,"3. Factuuradres"
1165,76,"1. Parent company"
1250,76,"3. Factuuradres"
1250,76,"1. Parent company"
1258,76,"3. Factuuradres"
1258,76,"1. Parent company"
1272,76,"3. Factuuradres"
1272,76,"1. Parent company"
1282,76,"3. Factuuradres"
1282,76,"1. Parent company"
1525,76,"3. Factuuradres"
1525,76,"1. Parent company"
1581,76,"3. Factuuradres"
1581,76,"1. Parent company"
1713,76,"3. Factuuradres"
1713,76,"1. Parent company"
1814,76,"3. Factuuradres"
1814,76,"1. Parent company"
1965,76,"3. Factuuradres"
1965,76,"1. Parent company"
1995,76,"3. Factuuradres"
1995,76,"1. Parent company"
2011,76,"3. Factuuradres"
2011,76,"1. Parent company"
2012,76,"3. Factuuradres"
2012,76,"1. Parent company"
2445,76,"3. Factuuradres"
2445,76,"1. Parent company"
