id,company,street,housenum,postalcode,city,country,notes,name,surname,surname_prefix,email,telephone,label,is_parent_of,is_child_of,roomType
2,Voorbeeld leverancier BV,Leverancierstraat,1,1234AB,Baarn,NL,,Jane,Smit,,leverancier@emailadres.nl,0201234567,hotel,"5, 11",1,
9,Travel Fun BV,Straatnaam,100,1234AB,Sydney,AU,,,,,info@travel.nl,0034123425342,hotel,10,,
278,Digiborrel.nl / Compabox B.V.,Laan van Kronenburg,14,1183 AS,Amstelveen,NL,"

	

Organisator van online bedrijfsborrels

Bestelling via&nbsp;https://digiborrel.typeform.com/to/Dpicxg

",,,,"Support@digiborrel.nl, gijs@compabox.nl, support-digiborrel@deliver.moneybird.com","00318506010105, 0031623200396",hotel,"279, 279",,"ENTERTAINMENT Truth or Fiction, ENTERTAINMENT Rating the Colleagues, ENTERTAINMENT Crazy Pubquiz, ENTERTAINMENT Teambuilding Bar Run, ENTERTAINMENT Digikerst, ENTERTAINMENT DigiHalloween, ENTERTAINMENT DigiSint"
280, Park Centraal Den Haag Operations B.V.,Molenstraat,53,2513BJ,Den Haag,NL,"

	

kortingscode is gelijk geldig op onze website (of via e-mail &amp; telefoon): CMP24

",,,,,,hotel,,,
284,Sircle Collection B.V.,Nieuwezijds Voorburgwal,271,1012 RL,Amsterdam,NL,"Contract met Park Centraal Den Haag & Amsterdam, zie sub-suppliers",,,,groupdesk.nl@sirclecollection.com,0031207107200,hotel,"324, 326, 327, 328, 330, 333, 335, 1173, 1842",,
285,VAN DER Valk Business B.V.,Burgemeester Burgerslaan,40A,5245 NH,Rosmalen,NL,"

	

Groepsaanvragen mogen per oktober 2020 weer via hotels direct om vertraging te voorkomen. graag wel businessdesk en Brigitte bogers op de CC zetten, individuele overnachtingen via het portal: https://www.vandervalkcorporates.nl/ | Username: stijn@corporatemeetingpartner.com WW: CMPowner123

Vooor IND boekingen geen commissie over ontbijt!

",,,,info@valkbusiness.com,0031880246400,hotel,"336, 337, 339, 340, 342, 344, 346, 347, 349, 351, 352, 353, 355, 356, 358, 359, 360, 361, 361, 365, 366, 367, 368, 370, 371, 373, 374, 376, 377, 379, 381, 382, 384, 386, 387, 388, 1334","1765, 3140, 3342, 4693",
286,NH Hotel Group S.A.,Santa Engracia,120,28003,Madrid,ES,"

	

Individuele overnachtingen wereldwijd via VipDesk, MICE via GroupDesk.
PID Nr 1022485086
Contact: Albert (Andr&eacute;)

",,,,"vip.reserveringen@nh-hotels.com, nhgroupsales.nl@nh-hotels.com, nh.noreply@nh-hotels.com","0031207956085, 0031859022313",hotel,"390, 391, 392, 392, 395, 397, 399, 401, 403, 405, 407, 410, 413, 415, 417, 1034, 1141, 1418, 1554, 1579, 1792, 2052, 2053, 2340, 2469",,
287,Aeon Plaza Hotels Management B.V.,John M. Keynesplein,2,1066 EP,Amsterdam,NL,,,,,,,hotel,"421, 422, 423, 425",423,
288,Valk Exclusief,Winthontlaan,4 - 6,3526 KV,Utrecht,NL,"Let op: commissie regels verschillen per hotel, altijd herbevestigen",,,,,,hotel,"426, 432, 434, 438, 441, 443, 446, 451, 454, 454, 454, 1111, 1744","1208, 3404",
289,Hilton Hotels & resorts,Schiphol Boulevard,701,1118 BN,Schiphol,NL,"

	

met diverse NL hotels hebben wij krediet, aanvragen NL Jarno, Global aanvragen via Irina Hihani &amp; Gert-jan Steltman

",,,,,003225484211,hotel,"457, 457, 458, 458, 472, 472, 1195, 1289, 1372, 1602, 1602, 1604, 1977, 1987, 1999, 2055, 2066, 2082, 2097, 2098, 2279, 2453, 2656, 2656",290,
290,Hilton International Nederland B.V.,Apollolaan,138,1077 BG,Amsterdam,NL,"

	

Krediet bij Schiphol en Den Haag.

Hilton Honnors nummer VOOR GROEPEN EN MEETINGS: 571554045

2024: Hierbij kan ik een commissie van 10% op de netto kamer prijs exclusief ontbijt, meetings/ddr pakketen en pre-booked F&amp;B aanbieden voor CMP voor de volgende zes hotels die wij managen:

Hilton Amsterdam
DoubleTree by Hilton Amsterdam Centraal Station 
Hilton Amsterdam Airport Schiphol
Hilton The Hague
Hilton Rotterdam
DoubleTree by Hilton Royal Parc Soestduinen
&nbsp;

",,,,amshh_reservations@hilton.com,,hotel,"289, 459, 459, 460, 460, 461, 461, 462, 462, 465, 465, 467, 467, 470, 470, 1040, 1298, 2080, 2589",,
291,ALL - Accor Live Limitless,Stationsplein-ZW,981,1117 CE,Schiphol,NL,"

	

MICE aanvragen tot 50 deelnemer doen via&nbsp;https://www.accor-ena-groups.com/?companyId=308263

",,,,ce.mice.groups@accor.com,,hotel,"474, 474, 475, 475, 478, 478, 480, 480, 483, 483, 486, 486, 491, 491, 494, 494, 497, 497, 500, 500, 503, 503, 507, 507, 1179, 1235, 1452, 1465, 1498, 1627, 1795, 1994, 2061, 2061, 2099, 2277, 2412, 2500, 2500, 2649, 2702, 2765, 2795, 2851",,
292,Locke Living,,,,,,,,,,,,hotel,"509, 509, 510, 510",,
